File_index,Plagiarized
00001,1
00002,1
00003,1
00004,0
00005,1
00006,1
00007,1
00008,0
00009,1
00010,0
00011,0
00012,0
00013,0
00014,1
00015,1
00016,0
00017,0
00018,0
00019,1
00020,0
00021,1
00022,0
00023,0
00024,1
00025,0
00026,1
00027,0
00028,0
00029,0
00030,0
00031,0
00032,1
00033,1
00034,0
00035,0
00036,0
00037,0
00038,1
00039,1
00040,1
00041,0
00042,0
00043,1
00044,1
00045,0
00046,0
00047,1
00048,1
00049,0
00050,0
00051,0
00052,1
00053,1
00054,0
00055,1
00056,1
00057,0
00058,0
00059,1
00060,0
00061,1
00062,0
00063,1
00064,1
00065,0
00066,0
00067,0
00068,0
00069,1
00070,1
00071,0
00072,0
00073,1
00074,1
00075,0
00076,0
00077,0
00078,0
00079,0
00080,1
00081,1
00082,0
00083,0
00084,0
00085,0
00086,0
00087,1
00088,0
00089,0
00090,0
00091,0
00092,0
00093,1
00094,1
00095,0
00096,0
00097,1
00098,0
00099,0
00100,1
00101,1
00102,0
00103,1
00104,0
00105,0
00106,0
00107,1
00108,0
00109,0
00110,0
00111,1
00112,0
00113,0
00114,1
00115,1
00116,1
00117,1
00118,0
00119,0
00120,0
00121,1
00122,1
00123,0
00124,0
00125,0
00126,0
00127,0
00128,0
00129,0
00130,0
00131,0
00132,1
00133,0
00134,0
00135,0
00136,0
00137,0
00138,0
00139,0
00140,1
00141,0
00142,1
00143,0
00144,0
00145,0
00146,0
00147,0
00148,0
00149,0
00150,0
00151,0
00152,1
00153,0
00154,0
00155,0
00156,1
00157,1
00158,0
00159,0
00160,1
00161,0
00162,0
00163,0
00164,0
00165,0
00166,0
00167,1
00168,1
00169,0
00170,1
00171,0
00172,0
00173,0
00174,0
00175,1
00176,0
00177,1
00178,0
00179,0
00180,0
00181,0
00182,0
00183,1
00184,1
00185,0
00186,1
00187,1
00188,0
00189,0
00190,1
00191,1
00192,1
00193,1
00194,0
00195,0
00196,0
00197,1
00198,0
00199,1
00200,0
00201,0
00202,0
00203,1
00204,0
00205,1
00206,0
00207,1
00208,0
00209,1
00210,0
00211,1
00212,0
00213,1
00214,0
00215,1
00216,0
00217,0
00218,0
00219,1
00220,1
00221,1
00222,1
00223,0
00224,1
00225,1
00226,1
00227,0
00228,0
00229,0
00230,0
00231,0
00232,1
00233,0
00234,0
00235,1
00236,0
00237,1
00238,0
00239,0
00240,0
00241,0
00242,0
00243,0
00244,0
00245,0
00246,0
00247,1
00248,0
00249,0
00250,0
00251,0
00252,0
00253,1
00254,1
00255,0
00256,0
00257,0
00258,0
00259,0
00260,0
00261,1
00262,0
00263,1
00264,1
00265,1
00266,1
00267,0
00268,0
00269,0
00270,1
00271,0
00272,0
00273,0
00274,1
00275,0
00276,0
00277,0
00278,1
00279,0
00280,0
00281,0
00282,1
00283,1
00284,0
00285,1
00286,0
00287,0
00288,0
00289,1
00290,0
00291,0
00292,0
00293,0
00294,0
00295,0
00296,0
00297,0
00298,1
00299,1
00300,0
00301,0
00302,0
00303,0
00304,0
00305,0
00306,0
00307,0
00308,1
00309,0
00310,0
00311,0
00312,0
00313,1
00314,0
00315,0
00316,0
00317,0
00318,0
00319,0
00320,0
00321,0
00322,1
00323,0
00324,0
00325,1
00326,1
00327,1
00328,0
00329,0
00330,0
00331,0
00332,0
00333,0
00334,1
00335,0
00336,1
00337,1
00338,1
00339,0
00340,0
00341,1
00342,1
00343,1
00344,0
00345,1
00346,1
00347,1
00348,1
00349,0
00350,0
00351,1
00352,1
00353,0
00354,0
00355,0
00356,0
00357,0
00358,0
00359,1
00360,0
00361,0
00362,1
00363,0
00364,0
00365,1
00366,0
00367,0
00368,0
00369,0
00370,0
00371,1
00372,1
00373,0
00374,0
00375,0
00376,1
00377,1
00378,0
00379,1
00380,0
00381,0
00382,1
00383,0
00384,1
00385,1
00386,0
00387,0
00388,1
00389,0
00390,0
00391,1
00392,0
00393,1
00394,1
00395,0
00396,1
00397,0
00398,0
00399,1
00400,1
00401,1
00402,0
00403,1
00404,0
00405,0
00406,1
00407,0
00408,1
00409,1
00410,1
00411,1
00412,0
00413,1
00414,0
00415,0
00416,0
00417,0
00418,1
00419,1
00420,1
00421,0
00422,1
00423,0
00424,1
00425,0
00426,1
00427,1
00428,1
00429,1
00430,0
00431,1
00432,0
00433,0
00434,0
00435,0
00436,0
00437,0
00438,0
00439,0
00440,0
00441,1
00442,1
00443,1
00444,1
00445,1
00446,0
00447,0
00448,1
00449,0
00450,1
00451,0
00452,1
00453,1
00454,1
00455,1
00456,0
00457,1
00458,0
00459,0
00460,1
00461,0
00462,1
00463,1
00464,0
00465,0
00466,0
00467,0
00468,0
00469,0
00470,1
00471,1
00472,0
00473,0
00474,0
00475,0
00476,0
00477,0
00478,1
00479,0
00480,1
00481,0
00482,1
00483,0
00484,1
00485,0
00486,1
00487,1
00488,0
00489,0
00490,0
00491,1
00492,1
00493,0
00494,1
00495,0
00496,0
00497,0
00498,0
00499,1
00500,0




